Key,English,Thai
PROPQUEST_SCENARIO_INC_001548,"Please defeat the Basques in the North and acquire the Bubble Trace. Once you have this, take it to Bowler. He knows much more ancient lore than myself.",โปรดกำจัด Basques ในภาคเหนือและได้รับ Bubble Trace เมื่อคุณได้รับนี้นำไป Bowler เขารู้จักมากกว่าตัวฉัน
PROPQUEST_SCENARIO_INC_001549,You don't want to help me? Oh well... Then I will go myself...,คุณไม่ต้องการที่จะช่วยฉัน? ได้สิ .. ฉันจะไปทำมันเอง ..
PROPQUEST_SCENARIO_INC_001550,"Hmm? Yes I am Bowler, last keeper of the lore of this continent. WHAT!? You come bearing the Bubble Trace!?",อืม? ใช่ฉันเป็น Bowler . ผู้รักษาประตูคนสุดท้ายของตำนานแห่งทวีปนี้ อะไร!? คุณ Bubble Trace !?
PROPQUEST_SCENARIO_INC_001551,"Please kill 15 Basques, acquire the Bubble Trace and take it to Bowler.",โปรดฆ่า 15 Basques เก็บ Bubble Trace และนำไปให้ Bowler
PROPQUEST_SCENARIO_INC_001552,Kill 15 Phantom Basques & 7 Basques and find the Bubble Trace and bring it to Bowler.,ฆ่า 15 Phantom Basques & 7 Basques และเก็บ Bubble Trace นำไปให้ Bowler
PROPQUEST_SCENARIO_INC_001554,Essence of the Gods (2),สาระสำคัญของพระเจ้า (2)
PROPQUEST_SCENARIO_INC_001555,"According to my ancestors, this region was once a primary location for a massive conflict between Bubble and Shade. Lets put it this way, Madrigal was once all one continent before this war…",ตามบรรพบุรุษของฉันภูมิภาคนี้เคยเป็นที่ตั้งหลักสำหรับความขัดแย้งระหว่าง Bubble และ Shade ให้วางไว้แบบนี้ Madrigal เคยเป็นหนึ่งทวีปก่อนสงครามครั้งนี้ ...
PROPQUEST_SCENARIO_INC_001556,"We must also acquire the Shade trace. It's rumored to be held by the Pranksters, the last remnants of the followers of Shade. As you can see, I'm a tad too short to confront them. Could you get it for me?",นอกจากนี้เรายังต้องแกะรอย Shade มีข่าวลือว่าโดยพวก Pranksters ซึ่งเป็นกลุ่มสุดท้ายที่พักดีต่อ Shade อย่างที่คุณเห็น ข้อมูลมันน้อยนิดมาก คุณจะยังช่วยฉันอยู่มั้ย?
PROPQUEST_SCENARIO_INC_001557,I appreciate the assistance. Please go Kill 15 Small Mage Pranksters & 7 Pranksters and acquire the Shade trace.,ฉันขอขอบคุณที่ให้ความช่วยเหลือ โปรดไปฆ่า 15 Small Mage Pranksters & 7 Pranksters และรับ Shade trace
PROPQUEST_SCENARIO_INC_001558,What? Expect a poor little Dwarpet such as myself to take on an army of Pranksters?,อะไรนะ? ต้องการ Dwarpet ตัวน้อยน่าสงสารอย่างข้า ไปรับมือกับกองทัพ Pranksters?
PROPQUEST_SCENARIO_INC_001559,"So according to Bowler, this was the site of the battle between Bubble and Shade? The essence of each that you contain is definitive proof of this.",ดังนั้นตาม Bowler บอก นี่เป็นที่ตั้งของการต่อสู้ระหว่าง Bubble และ Shade? ที่สำคัญที่สุดคือ สิ่งที่คุณมีคือหลักฐานที่ชัดเจนของเรื่องนี้
PROPQUEST_SCENARIO_INC_001560,"Kill 15 Small Mage Pranksters & 7 Pranksters, find the Shade Trace and bring it to Handel.",ฆ่า 15 Small Mage Pranksters & 7 Pranksters หา Shade Trace และนำมันไปให้ Handel
PROPQUEST_SCENARIO_INC_001561,"Kill 15 Small Mage Pranksters & 7 Pranksters, acquire the Shade Trace and bring it to Handel.",ฆ่า 15 Small Mage Pranksters & 7 Pranksters เก็บ Shade Trace และนำไปให้ Handel
PROPQUEST_SCENARIO_INC_001563,Guardians of the Temple,ผู้พิทักษ์แห่งพระวิหาร
PROPQUEST_SCENARIO_INC_001564,"This essence of Shade is concerning… After the 8 Heroes had defeated Shade, all remnants of her existence were to be purged to prevent her return.",สาระสำคัญของ Shade นี้เกี่ยวข้องกับ ... หลังจากที่วีรบุรุษทั้ง 8 คนแพ้ Shade แล้วเศษของชีวิตทั้งหมดจะถูกกำจัดออกเพื่อป้องกันไม่ให้เธอกลับมา
PROPQUEST_SCENARIO_INC_001565,"If her essence remains, this is very bad… Stored in the Temple of Iblis is the Parchment of War. Please head there and retrieve it for me.",หากแก่นแท้ของเธอยังคงอยู่ นี่มันแย่มาก… ที่เก็บไว้ในวิหารอิบลิสคือกระดาษแห่งสงคราม โปรดไปที่นั่นและดึงมันมาให้ฉัน
PROPQUEST_SCENARIO_INC_001566,The Temple of Iblis is in the Southern most region of Saint Morning. The records are guarded by both Iblis Crashers and an Iblis Guardian so please defeat them to obtain it!,Temple of Iblisอยู่ทางตอนใต้สุดของเซนต์มอร์นิ่ง บันทึกได้รับการปกป้องโดยทั้ง Iblis Crashers และ Iblis Guardian ดังนั้นโปรดเอาชนะพวกเขาเพื่อรับมัน!
PROPQUEST_SCENARIO_INC_001567,We've come too far to just quit now! Please reconsider!!,เรามาไกลเกินกว่าจะเลิกได้แล้ว! กรุณาคิดใหม่อีกครั้ง!!
PROPQUEST_SCENARIO_INC_001568,You've made it back with the Parchment!,คุณทำได้ กลับมาพร้อมกับ Parchment!
PROPQUEST_SCENARIO_INC_001569,Please bring the Parchment of War after defeating 10 Iblis Crashers and an Iblis Guardian.,โปรดนำ Parchment of War มาด้วยหลังจากเอาชนะ Iblis Crashers 10 ตัวและ Iblis Guardian หนึ่งตัว
PROPQUEST_SCENARIO_INC_001570,Bring Handel the Parchment of War after defeating 10 Iblis Crashers and an Iblis Guardian.,นำ Handel the Parchment of War มาหลังจากเอาชนะ Iblis Crashers 10 ตัวและ Iblis Guardian หนึ่งตัว
PROPQUEST_SCENARIO_INC_001572,Before He's Road kill…,ก่อนที่เขาจะฆ่า ...
PROPQUEST_SCENARIO_INC_001573,Please you must quickly hurry to Bowler! It seems the Wheelems near him have grown increasingly aggressive and he has grown quite fearful!,ได้โปรดรีบรีบไปหาโบว์ลิ่ง! ดูเหมือนว่า Wheelems ใกล้ๆ เขาเติบโตขึ้นเรื่อยๆ และเขาก็เติบโตขึ้นมากทีเดียว!
PROPQUEST_SCENARIO_INC_001574,"Will you hurry to his aid? In the meanwhile, I will attempt to decrypt these records. I know they contain something worthwhile!!",คุณจะรีบไปช่วยเขาหน่อย? ในระหว่างนี้ ฉันจะพยายามถอดรหัสบันทึกเหล่านี้ ฉันส่ามันต้องมีประโยชน์กับเราแน่!!
PROPQUEST_SCENARIO_INC_001575,Your assistance is truly appreciated! Hurry and defeat 20 Rough Wheelems & 10 Wheelems then report to Bowler!,ความช่วยเหลือของคุณได้รับความนิยมอย่างแท้จริง! รีบและเอาชนะ 20 Rough Wheelems & 10 Wheelems จากนั้นรายงานไปยัง Bowler!
PROPQUEST_SCENARIO_INC_001576,Oh no!! You must help him! Bowler doesn't stand a chance against those vicious Wheelems!,ไม่นะ!! คุณต้องช่วยเขา! โบว์ลิ่งไม่ได้มีโอกาสกับ Wheelems ที่เลวร้ายเหล่านี้!
PROPQUEST_SCENARIO_INC_001577,"That was too close of a call! The Wheelems generally left me alone. For whatever reason, they suddenly grew violent and attempted to attack me while I was out near their territory.",นั่นใกล้เกินไปแล้ว! The Wheelems ส่วนใหญ่ทิ้งฉันไว้ตามลำพัง ด้วยเหตุผลใดก็ตามพวกเขาก็เริ่มมีความรุนแรงและพยายามที่จะโจมตีฉันขณะที่ฉันอยู่ใกล้ดินแดนของพวกเขา
PROPQUEST_SCENARIO_INC_001578,Hurry! Kill 20 Rough Wheelems & 10 Wheelems before they can reach Bowler!,รีบ! ฆ่า 20 Rough Wheelems & 10 Wheelems ก่อนที่พวกเขาสามารถเข้าถึง Bowler!
PROPQUEST_SCENARIO_INC_001579,Kill 20 Rough Wheelems & 10 Wheelems and report to Bowler.,ฆ่า 20 Rough Wheelems & 10 Wheelems และรายงานให้ Bower
PROPQUEST_SCENARIO_INC_001581,The Moment of Truth,ช่วงเวลาแห่งความจริง
PROPQUEST_SCENARIO_INC_001582,"The number of Wheelems has increased so much since I last remember. If it weren't for you, I would have been Dwarpet road kill…",จำนวน Wheelems เพิ่มมากขึ้นตั้งแต่ฉันจำได้ครั้งสุดท้าย ถ้าไม่ใช่คุณฉันเส้นทางของ Dwarpet...
PROPQUEST_SCENARIO_INC_001583,Has Handel finished her research? Oh! She is currently decrypting the Parchment of War? Will you hurry back to her and find if she has finished?,Handel ทำการวิจัยเสร็จหรือยัง? อ้อ! ตอนนี้เธอง่วนอยู่กับการถอดรหัสม้วนคัมภีร์สงครามอยู่เหรอ? คุณช่วยรีบกลับไปหาเธอและดูว่าเธอทำเสร็จหรือยัง?
PROPQUEST_SCENARIO_INC_001584,"Tell Handel that I said thanks for her concern… If she need my help, feel free to find me at anytime!",บอก Handel ว่าฉันกล่าวขอบคุณสำหรับความกังวลของเธอ... ถ้าเธอต้องการความช่วยเหลือของฉันรู้สึกฟรีเพื่อหาฉันได้ตลอดเวลา!
PROPQUEST_SCENARIO_INC_001585,"Look I know I'm great and you would love to spend time with me, but this is sort of important!",ดูสิ ฉันรู้ว่าฉันเก่งและคุณต้องการที่จะใช้เวลากับฉัน แต่นี้เป็นสิ่งที่สำคัญ!
PROPQUEST_SCENARIO_INC_001586,I'm glad to see you… I have to finish decrypting the Parchment,ฉันดีใจที่ได้พบคุณ ... ฉันต้องถอด decryptioning the Parchment ให้เสร็จ
PROPQUEST_SCENARIO_INC_001587,Go see Handel. She should be done with decrypting the parchment.,ไปดู Handel เธอควรจะทำกับถอดรหัสกระดาษ
PROPQUEST_SCENARIO_INC_001588,Return to Handel and see if she has decrypted the Parchment.,กลับไปที่ Handel และดูว่าเธอได้ถอดรหัส Parchment หรือไม่
PROPQUEST_SCENARIO_INC_001590,Revelation,Revelation
PROPQUEST_SCENARIO_INC_001591,Why am I looking so distraught after analyzing the text you ask? Well… I guess the results are not what I would have wanted…,ทำไมฉันจึงมองหาความหวังดังนั้นหลังจากวิเคราะห์ข้อความที่คุณต้องการ? ดี ... ฉันเดาผลลัพท์ที่จะเกิดขึ้นไม่ได้...
PROPQUEST_SCENARIO_INC_001592,"The records indicate that despite the efforts made by the 8 heroes to expunge any trace of Shade's existence, her essence still persists throughout this world.",ระเบียนแสดงให้เห็นว่าแม้จะมีความพยายามของวีรบุรุษทั้ง 8 ตัวเพื่อขจัดร่องรอยการดำรงอยู่ของ Shade แต่สาระสำคัญของเธอยังคงมีอยู่ทั่วโลกนี้
PROPQUEST_SCENARIO_INC_001593,"When the time is right, she will regain her physical form and return anew to command her masquerpet army. It is her intention to reclaim the known world as her own…",เมื่อถึงเวลาเหมาะสมแล้วเธอจะฟื้นร่างกายของเธอ และกลับมาใหม่เพื่อสั่งให้กองทัพสวมหน้ากากของเธอ เป็นความตั้งใจของเธอที่จะเรียกคืนโลกที่รู้จักกันเป็นของเธอเอง ...
PROPQUEST_SCENARIO_INC_001594,You must go and talk to Reonan as soon as possible. We no longer have time to waste. Please find him!,คุณต้องไปคุยกับ Reonan โดยเร็วที่สุด เราไม่มีเวลาแล้ว กรุณารีบไปหาเขา!
PROPQUEST_SCENARIO_INC_001595,Reonan still hasn't explained to you the exact nature of the 8 heroes has he? I feel you are ready to know the truth and the role you play in this all…,Reonan ยังไม่ได้อธิบายให้คุณเห็นลักษณะที่แท้จริงของวีรบุรุษทั้ง 8 ตัว? ฉันรู้สึกว่าคุณพร้อมที่จะรู้ความจริงและบทบาทที่คุณเล่นในทั้งหมดนี้ ...
PROPQUEST_SCENARIO_INC_001596,I'm sorry if you feel uncertain about this all. Take some time to think it over…,ฉันขอโทษถ้าคุณรู้สึกไม่แน่ใจเกี่ยวกับเรื่องนี้ทั้งหมด ใช้เวลาทั้งหมดนี้คิดถึงมัน ...
PROPQUEST_SCENARIO_INC_001597,Greetings again! Ohhh…so this is what Handel has brought to light.,ทักทายอีกครั้ง! Ohhh ... ดังนั้นนี่คือสิ่งที่ Hande ได้นำมาสู่แสงสว่าง
PROPQUEST_SCENARIO_INC_001598,Please hurry back to Reonan. I'm sure he will explain everything!,กรุณารีบกลับไปที่ Reonan ฉันแน่ใจว่าเขาจะอธิบายทุกอย่าง!
PROPQUEST_SCENARIO_INC_001599,Return to Reonan with the results of Handel's research.,กลับไปที่ Reonan ด้วยผลการวิจัยของ Handel
PROPQUEST_SCENARIO_INC_001601,Darkon: The Mysterious Continent,Darkon: ทวีปลึกลับ
PROPQUEST_SCENARIO_INC_001602,"This is more urgent that I thought… I was aware of the impending return of Shade, but this soon? I'm sorry I had to hide so much from you. Here is the truth…",เรื่องนี้เร่งด่วนกว่าที่ฉันคิดไว้มาก... ฉันรู้ว่าการกลับมาของเงามืดกำลังจะเกิดขึ้น แต่เร็วขนาดนี้เลยเหรอ? ฉันขอโทษที่ต้องปิดบังคุณไว้มากมาย นี่คือความจริง...
PROPQUEST_SCENARIO_INC_001603,"Handel, Hael and I share a common past. We are all reincarnations of the 8 original heroes to defeat Shade in the War of the Gods. I was the first Knight Hero...","Handel, Hael และฉันแบ่งปันกันในอดีต เราเป็นวีรบุรุษทั้งหมดของวีรบุรุษดั้งเดิม 8 ตัวเพื่อเอาชนะ Shade ในสงครามแห่งเทพ ฉันเป็นฮีโร่อัศวินคนแรก ..."
PROPQUEST_SCENARIO_INC_001604,"We were all appointed by Bubble as champions of our respective classes, and led the armies of mankind against Shade and her masquerpets.",เราได้รับการแต่งตั้งจาก Bubble ให้เป็นตัวแทนของชั้นเรียนของเราและนำกองกำลังของมนุษยชาติต่อต้าน Shade และ masquerpets ของเธอ
PROPQUEST_SCENARIO_INC_001605,I feel it is due time for a reunification of the original 8 heroes... I know the other reincarnations are out there. I just hope we will be able to convince the rest of them. We don't have much time…,ฉันรู้สึกว่าถึงเวลาแล้วที่จะรวมตัวของวีรบุรุษทั้ง 8 ตัวเข้าด้วยกัน ... ฉันหวังว่าเราจะสามารถโน้มน้าวคนอื่น ๆ ได้ทั้งหมด เราไม่มีเวลามาก ...
PROPQUEST_SCENARIO_INC_001606,"It has come to my attention that several of the other heroes are currently residing in a large continent known as Darkon. For Madrigal's sake, would you be able to track them down?",ฉันได้ทราบว่าวีรบุรุษคนอื่น ๆ กำลังอาศัยอยู่ในทวีปใหญ่ที่รู้จักกันในชื่อ Darkon สำหรับ Madrigal คุณจะสามารถติดตามพวกเขาได้หรือไม่?
PROPQUEST_SCENARIO_INC_001607,Make haste to meet the Mayor of Darkon. He sees over the main industrial town located in Darkon 2. Maybe he will have further information about the missing heroes.,รีบ รีบหน่อย ไปพบกับนายกเทศมนตรีเมือง Darkon เขาผ่านเมืองอุตสาหกรรมหลักที่ตั้งอยู่ใน Darkon 2 บางทีเขาอาจจะมีข้อมูลเพิ่มเติมเกี่ยวกับฮีโร่ที่หายไป
PROPQUEST_SCENARIO_INC_001608,"I know it is a lot to take in, but you are going to have to trust me on this one. We don't have any time to waste.",ฉันรู้มาว่ามีจำนวนมากที่จะเข้ามาที่นี่ แต่คุณจะต้องเชื่อใจฉันในเรื่องนี้ เราไม่มีเวลาแล้ว
PROPQUEST_SCENARIO_INC_001609,"Oh! Hello young adventurer. You shouldn't sneak up on a man my age, nearly gave me a heart attack. Hahaha!!",Oh! สวัสดีหนุ่มนักผจญภัย คุณไม่ควรแอบมาแบบนี้ อายุของฉันเกือบจะทำให้ฉันหัวใจวายนะ ฮ่า ๆ ๆ ๆ!!
PROPQUEST_SCENARIO_INC_001610,"You must locate the heroes of the past, so that Madrigal might have a future. Please speak with the Mayor of Darkon. I guarantee he will know something…",คุณต้องค้นหาฮีโร่ของอดีตเพื่อให้ Madrigal มีอนาคตที่ดีต่อไป กรุณาพูดคุยกับนายกเทศมนตรีเมือง Darkon ฉันรับประกันได้เลยว่าเขาจะรู้อะไรบางอย่าง ...
PROPQUEST_SCENARIO_INC_001611,Go meet the Mayor of Darken located in Darkon 2. Maybe he will have more information on the missing heroes.,ไปพบกับนายกเทศมนตรีแห่ง Darken ที่ตั้งอยู่ใน Darkon 2 บางทีเขาอาจจะมีข้อมูลเพิ่มเติมเกี่ยวกับฮีโร่ที่หายไป
PROPQUEST_SCENARIO_INC_001613,The Problem with Leyenas,ปัญหากับ Leyenas
PROPQUEST_SCENARIO_INC_001614,"What's this you speak of? Heroes? Can't say I've heard anything about that… But, I believe I know a person who may have…",คุณพูดถึงเรื่องอะไร? ผู้กล้า? ฉันก็เพิ่งได้ยินเรื่องนี้เหมือนกัน... แต่ฉันคิดว่าฉันรู้จักคนที่อาจจะรู้เรื่องนี้...
PROPQUEST_SCENARIO_INC_001615,Oh you want to know? Of course I will tell you… But first perhaps you could do me a favor?,โอ้ คุณอยากรู้งั้นหรอ ? แน่นอนฉันจะบอกคุณ ... แต่ก่อนอื่นคุณพอจะช่วยฉันได้ไหม?
PROPQUEST_SCENARIO_INC_001616,I am frequently in touch with the mayors of both Saint City and Flarine. I have heard of your heroic actions and request your aid. There has been a dramatic increase in Leyena populations.,บ่อยครั้งที่ฉันติดต่อกับนายกเทศมนตรีของ Saint City และ Flarine ฉันได้ยินเกี่ยวกับการกระทำที่กล้าหาญของคุณและขอความช่วยเหลือจากคุณ
PROPQUEST_SCENARIO_INC_001617,They have made it awfully hard for our workers to collect a rare ore which is a staple export here in Darken. Please defeat the Leyena and I will give you the information.,กรุณากำจัด Leyena และฉันจะให้ข้อมูลแก่คุณ
PROPQUEST_SCENARIO_INC_001618,Thank you adventurer! The Leyena can be found in Eastern Darkon. Please decrease their population by killing 20 Small Leyenas and 10 Leyenas.,ขอบคุณเหล่านักผจญภัย! Leyena สามารถพบได้ใน Eastern Darkon โปรดฆ่า 20 Small Leyenas และ 10 Leyenas
PROPQUEST_SCENARIO_INC_001619,"Hmm, what was it you needed again? My mind seems to be getting fuzzy... Since you are here, why not do some sightseeing?",ถ้าอย่างนั้นฉันก็ช่วยอะไรคุณไม่ได้เหมือนกัน เอาล่ะ! ฉันจะไป Darkon สักครู่แล้วฉันจะกลับไป
PROPQUEST_SCENARIO_INC_001620,Hah! It is just as I have heard. You are truly a problem saver! Now to uphold my end of the bargain!,ฮะ! มันเป็นแค่ข่าวลือ
PROPQUEST_SCENARIO_INC_001621,Well? I'm not getting any younger! The Leyena are found in Eastern Darkon. Please get rid of at least 20 Small Leyenas and 10 Leyenas!,เยี่ยม ? ฉันยังไม่ได้รับเลย ! Leyena พบได้ใน Eastern Darkon โปรดกำจัด 20 Small Leyenas และ 10 Leyenas!
PROPQUEST_SCENARIO_INC_001622,Kill 20 Small Leyenas and 10 Leyenas.,กำจัด 20 Small Leyenas และ 10 Leyenas!
PROPQUEST_SCENARIO_INC_001624,The Great Teacher Inisis,Inisis ครูที่ยิ่งใหญ่
PROPQUEST_SCENARIO_INC_001625,Search out the Great Teacher Inisis. She has a wealth of knowledge on many subjects and has produced many outstanding students. If anyone knows it would be her.,ตามที่ได้สัญญาไว้ผมจะแนะนำคุณกับคนที่จะรู้จักวีรบุรุษที่คุณพูด Inisis เป็นครูที่ยิ่งใหญ่ บางทีเธออาจรู้จักกับคุณหลายคนที่พูด
PROPQUEST_SCENARIO_INC_001626,Inisis can be found at the center of Darken. Please go see her! I'm sure she will be of assistance!,Inisis สามารถพบได้ในใจกลาง Darken กรุณาไปดูเธอ! ฉันแน่ใจว่าเธอจะให้ความช่วยเหลือ!
PROPQUEST_SCENARIO_INC_001627,But be patient! Inisis will hardly give you the answers you seek so quickly!,Inisis มีชื่อเสียงในด้านความดื้อรั้นของเขาและแม้ว่าเขาจะรู้เรื่องนี้เขาก็จะไม
PROPQUEST_SCENARIO_INC_001628,Changed your mind already? Guess the task wasn't that important then.,เปลี่ยนความคิดของคุณแล้วหรือยัง? คาดเดางานนี้คงไม่สำคัญสินะ
PROPQUEST_SCENARIO_INC_001629,Hmm... You are new here aren't you? Have you journeyed all this way to become one of my students?,อืม .. คุณเพิ่งมาที่นี่ไม่ใช่เหรอ? ที่มานี่เพราะต้องการจะเป็นหนึ่งในลูกศิษย์ของฉันงั้นรึ?
PROPQUEST_SCENARIO_INC_001630,Go see Inisis. She is at the center of Darken.,ไปดู Inisis เธออยู่ที่ศูนย์กลางของ Darken
PROPQUEST_SCENARIO_INC_001631,Go meet [Mentor] Inisis.,ไปพบกับ [Mentor] Inisis
PROPQUEST_SCENARIO_INC_001633,Corrupted Hunter,ฮันเตอร์เสียหาย
PROPQUEST_SCENARIO_INC_001634,"8 legendary heroes? Hmm… Maybe… I have a person in my mind… but, I can't tell you so easily. First you must do something to show you are worthy of such information.",วีรบุรุษในตำนาน 8 คน ? อืม ... บางที ... ฉันมีคนอยู่ในใจฉันอยู่แล้ว ... แต่ฉันไม่สามารถบอกคุณได้ง่ายๆ อันดับแรกคุณต้องทำอะไรบางอย่างเพื่อแสดงว่าคุณมีคุณค่าของข้อมูลดังกล่าว
PROPQUEST_SCENARIO_INC_001635,Foul monsters known as Trangfoma have been reported kidnapping civilians outside of the city. They are lead by a powerful lord Trangfoma. It needs to be defeated.,Foul monsters known as Trangfoma have been reported kidnapping civilians outside of the city. They are lead by a powerful lord Trangfoma. It needs to be defeated.
PROPQUEST_SCENARIO_INC_001636,Please kill the Lord Trangfoma located in Eastern Darkon. He won't go down so easily so I would recommend enlisting the help of fellow warriors such as yourself.,Please kill the Lord Trangfoma located in Eastern Darkon. He won't go down so easily so I would recommend enlisting the help of fellow warriors such as yourself.
PROPQUEST_SCENARIO_INC_001637,"If you don't have time for this, I don't have time to give you the information you seek…",ถ้าคุณไม่มีเวลาเพื่อสิ่งนี้ ฉันเองก็ไม่มีเวลาให้ข้อมูลที่คุณต้องการ ...
PROPQUEST_SCENARIO_INC_001638,hmm… Impressive. You are stronger than you look. I will give you everything you need to know now.,อืม ... น่าประทับใจ คุณแข็งแกร่งกว่าจากที่มองภายนอก ฉันจะให้ทุกสิ่งที่คุณจำเป็นต้องรู้ในขณะนี้
PROPQUEST_SCENARIO_INC_001639,Please relieve us of this threat. The Lord Trangfoma should be in Eastern Darkon.,Please relieve us of this threat. The Lord Trangfoma should be in Eastern Darkon.
PROPQUEST_SCENARIO_INC_001640,Kill the Lord Trangfoma.,Kill the Lord Trangfoma.
PROPQUEST_SCENARIO_INC_001642,Peculiar Creature,สิ่งมีชีวิตที่แปลกประหลาด
PROPQUEST_SCENARIO_INC_001643,"Normally I'd be skeptical of such a claim, but I do recall coming across quite a peculiar sight…",โดยปกติฉันจะไม่เชื่อเรื่องการเรียกร้องดังกล่าว แต่ฉันจำได้ว่าเจอสายตาที่แปลกประหลาด ...
PROPQUEST_SCENARIO_INC_001644,"While out traveling, I came across a creature most bizarre not too far East of Darken City.",ในระหว่างการเดินทางฉันได้พบสัตว์ที่แปลกประหลาดที่สุดไม่ไกลไปทางตะวันออกของ Darken City
PROPQUEST_SCENARIO_INC_001645,"It looked like an animal, yet it seemed to be talking. It seems quite peculiar and might warrant an investigation. I'm not sure if this will actually help you or not…",ดูเหมือนสัตว์ แต่ก็ดูเหมือนกำลังจะพูด ดูเหมือนว่าค่อนข้างแปลกและไม่รับประกันความปลอดภัย ฉันไม่แน่ใจว่านี่จะช่วยคุณได้หรือไม่ ...
PROPQUEST_SCENARIO_INC_001646,Please go investigate the nature of this matter. Maybe this creature might know something as well?,โปรดไปตรวจสอบลักษณะของเรื่องนี้ บางทีสิ่งมีชีวิตตัวนี้อาจจะรู้อะไรบางอย่างด้วย?
PROPQUEST_SCENARIO_INC_001647,"I saw the creature near the Steel Knights, which reside in the Erons Factories. Go look for it there!",ฉันเห็นสิ่งมีชีวิตที่อยู่ใกล้ Steel Knights ทาง Erons Factories ไปหามันที่นั่น!
PROPQUEST_SCENARIO_INC_001648,What? You don't believe me? Not like your story is any more believable!,อะไร? คุณไม่เชื่อฉันเหรอ? ไม่เหมือนกับเรื่องราวของคุณน่าเชื่อถือมากขึ้น!
PROPQUEST_SCENARIO_INC_001649,Hi! My name is Reodos...Oh come on! It's not like you are all that normal looking either!,ไง! ฉันชื่อ Reodos ... Oh come on! ไม่ใช่ว่าคุณเป็นคนธรรมดาที่มองหาอย่างใดอย่างหนึ่ง!
PROPQUEST_SCENARIO_INC_001650,"A truly mysterious creature indeed… You can find it in the Erons Factories, near the Steel Knights.",Mysterious Creature ตัวจริง ... คุณสามารถหาได้จากทางตะวันออกของสถานที่แห่งนี้ใกล้กับ Steel Knights
PROPQUEST_SCENARIO_INC_001651,Find the Mysterious Creature.,ค้นหา Mysterious Creature
PROPQUEST_SCENARIO_INC_001653,Steel Knight Night!,Steel Knight Night!
PROPQUEST_SCENARIO_INC_001654,"What's that!? A reunification of the 8 heroes! You happen to be looking at one of them! I am Reodos, the mighty Ele…","นั่นอะไร!? รวมเป็นวีรบุรุษ 8 คน! คุณกำลังมองหาที่หนึ่งของพวกเขา! ฉัน Reodos, Ele อันยิ่งใหญ่ ..."
PROPQUEST_SCENARIO_INC_001655,Well… was a mighty Elementor Hero… Shade cursed me. Trapping me in this cute furry little body was apparently the only way to contain all this power! Bwahaha!,ดี ... เป็นวีรบุรุษ Elementor อันยิ่งใหญ่ ... Shade แช่งข้า การดักจับตัวฉันในร่างน้อยน่ารักนี้ดูเหมือนจะเป็นวิธีเดียวที่จะมีพลังทั้งหมดนี้! Bwahaha!
PROPQUEST_SCENARIO_INC_001656,"I will have my vengeance upon Shade, she will scorn the day she ever messed with Reodos! Now I just need to figure a cure for this curse and…",ฉันจะมีการแก้แค้นของฉัน เมื่อ Shade เธอจะรังเกียจในวันที่เธอเคย messed กับ Reodos! ตอนนี้ฉันต้องคิดแก้สาปแช่งนี้และ ...
PROPQUEST_SCENARIO_INC_001657,Man! I can hardly hear my own thoughts with these stupid Steel Knights clanking around. Could you please get rid of some of them?,โอ้! ฉันแทบจะคิดอะไรไม่ออกเลย เพราะเสียงเดินของพวก Steel Knights โง่ๆ นั่น คุณช่วยกำจัดพวกมันซักหน่อยได้ไหม?
PROPQUEST_SCENARIO_INC_001658,"Awesome!! I'm trying to research into removing this curse but UGHHH those stupid Steel Knights! Kill like 20 Small Steel Knights & 10 Steel Knights. and I will be one happy unicorn, dog thing…",น่ากลัว!! ฉันพยายามที่จะค้นคว้าในการลบคำสาปแช่งนี้ แต่เหล่าคนโง่เขลา Steel Knights ฆ่า 20 Small Steel Knights & 10 Steel Knights และฉันจะเป็นหนึ่งในยูนิคอร์นที่มีความสุข ...
PROPQUEST_SCENARIO_INC_001659,You can't do that for me?,คุณทำแบบนั้นให้ฉันไม่ได้ใช่ไหม?
PROPQUEST_SCENARIO_INC_001660,Ah! Now I can collect my thoughts. What? You look at me like you've never met an Elementor before. Er… we are all a little eccentric I guess you could say.,Ah! ตอนนี้ฉันสามารถรวบรวมความคิดของฉันได้ อะไร? คุณมองมาที่ฉันเหมือนที่คุณไม่เคยเจอ Elementor มาก่อน เอ่อ ... ฉันเดาได้
PROPQUEST_SCENARIO_INC_001661,"Yes, yes the Steel Knights! Please eradicate 20 Small Steel Knights & 10 Steel Knights!",ใช่ ใช่ Steel Knights! กรุณากำจัด 20 Small Steel Knights & 10 Steel Knights!
PROPQUEST_SCENARIO_INC_001662,Kill 20 Small Steel Knights and 10 Steel Knights.,กำจัด 20 Small Steel Knights & 10 Steel Knights!
PROPQUEST_SCENARIO_INC_001667,Trials and Tribulations,การทดลองและความทุกข์ยาก
PROPQUEST_SCENARIO_INC_001668,Oh! This pendant belonged to Reodos! So you found him after all? This is indeed great news!,โอ้ว! จี้นี้เป็นของ Reodos! คุณเจอเขาหลังจากนั้นหรอ ? นี่ถือเป็นข่าวดี!
PROPQUEST_SCENARIO_INC_001669,I'm sure we will be able to break his curse and shall all once again be reunited. It is time we began the search for the other 4 heroes.,ฉันแน่ใจว่าเราสามารถล้างคำสาปแช่งของเขาได้และจะได้รวมตัวกันอีกครั้ง ถึงเวลาแล้วเราเริ่มค้นหาฮีโร่อีก 4 คน
